SiteID,DO.sat,Residence_time,Alk.mg.L,pH,NOx.ug.N.L,Elevation,b.f.max,SedimentCN,DIN.ug.N.L,Conductivity,CO2.uM,CH4.uM,delI18O,Salinity_code,Landuse,CEC,KSAT
14A,58,1.462634126,393.62,8.92,13.67,547,0.008925018,10.01998607,263.67,5179,7.9534444,0.39448974,-9.362675055,M,Livestock,22,4.67
14B,85.1,0.531283323,398.07,8.44,12.6,562,0.007683899,13.42001883,122.6,1291,52.0532874,1.049527036,-13.09341163,M,Livestock,24,5.39
20,97.2,0.492207183,221.47,9.11,7.76,619,0.001268853,9.907393697,97.76,1369,6.610101598,0.697881284,-13.56406362,M,Livestock,24,5.39
49,95.5,0.505429275,261.7,9.14,7.62,599,0.00347304,11.17437026,117.62,1400,9.871321669,1.99356568,-11.01531552,M,Livestock,14,24.79
54B,98.7,0.249490021,155.39,10.19,11.75,589.8,0.005618204,10.33345889,171.75,1421,2.72154116,1.637456638,-10.7766189,M,Livestock,14,24.79
53A,110.8,0.18761222,129.27,9.8,3188.68,595,0.011818747,9.451137196,3428.68,2504,1.336775485,0.62091386,-11.03339388,M,Pasture,14,24.79
54A,82,0.213204077,333.04,8.85,12.26,593,0.00192765,10.05075216,112.26,1860,19.49634279,2.536242582,-10.66896121,M,Crop,14,24.79
52,89.8,0.234794408,288.92,8.74,114.86,590,0,10.75317988,214.86,2463,20.96659535,0.878226899,-9.88044647,M,Livestock,14,24.79
48A,96.5,0.447139538,317.97,8.62,13.98,619,0.007294259,11.67498941,113.98,2170,20.70676342,1.428291169,-10.99382763,M,Livestock,24,5.39
51,145.5,0.201503383,153.11,9.16,16.83,608,0.007329399,11.9606227,106.83,2069,NA,NA,-12.39247955,M,NA,14,24.79
48B,95.4,0.186861163,218.7,8.51,6.69,617.9,0.015714281,10.0041274,96.69,1773,20.45756435,0.544726703,-11.10982199,M,Pasture,24,5.39
55B,82.1,0.559246881,141.05,9.01,7.09,586,0.012828965,9.524595476,117.09,416.7,5.639525306,1.648330829,-12.29656621,M,Crop,24,5.39
4G,47.7,0.413997683,271.95,7.73,1.83,576,0.00985773,NA,31.83,501.7,178.1268767,2.042598401,-12.07051565,W,Crop,40,0.34
4D,122,0.76913384,118.11,9,39.8,572,0.01807422,10.22756896,369.8,263.1,8.701701512,4.016866716,-13.66046687,W,Crop,40,0.34
4E,91,0.757640141,377.17,8.11,231.55,572,0.009846485,9.19708925,481.55,766,147.0674576,6.445657681,-10.95600284,W,Crop,40,0.34
4C,131.1,0.455860267,111.98,9.88,4.81,576,0.005157609,9.823814317,64.81,592,2.265567019,0.72872974,-9.537269213,W,Crop,40,0.34
